Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,123.760002,124.360001,120.790001,122.580002,116.787941,6847500
2021-12-14,122.349998,125.029999,122.300003,123.760002,117.912193,5716100
2021-12-15,123.800003,124.820000,122.180000,123.110001,117.292908,4990000
2021-12-16,123.510002,126.639999,123.480003,125.930000,119.979645,7280500
2021-12-17,125.870003,128.639999,125.209999,127.400002,121.380188,10379000
2021-12-20,125.720001,127.199997,124.699997,127.059998,121.056252,4941400
2021-12-21,127.660004,129.339996,127.660004,128.970001,122.876015,4856000
2021-12-22,129.059998,129.789993,127.599998,129.750000,123.619141,3923200
2021-12-23,130.000000,130.960007,129.520004,130.630005,124.457573,3649000
2021-12-27,130.630005,131.649994,129.949997,131.619995,125.400787,4293900
2021-12-28,131.600006,133.220001,131.589996,132.630005,126.363068,3445200
2021-12-29,132.399994,134.210007,132.300003,133.350006,127.049049,4239900
2021-12-30,133.750000,134.369995,133.330002,133.910004,127.582596,3158100
2021-12-31,134.000000,134.990005,133.610001,133.660004,127.344398,3362100
2022-01-03,134.070007,136.289993,133.630005,136.039993,129.611938,4605900
2022-01-04,136.100006,139.949997,135.899994,138.020004,131.498398,7300000
2022-01-05,138.309998,142.199997,137.880005,138.220001,131.688934,8956900
2022-01-06,138.199997,138.410004,132.509995,135.339996,128.945023,9908100
2022-01-07,134.899994,135.660004,133.509995,134.830002,128.459122,5238100
2022-01-10,134.470001,136.199997,133.380005,135.029999,128.649658,5432800
2022-01-11,130.520004,133.250000,127.970001,132.869995,126.591721,11105300
2022-01-12,133.250000,134.470001,131.369995,133.589996,127.277702,5352000
2022-01-13,133.899994,136.050003,133.559998,134.759995,128.392410,4868300
2022-01-14,134.550003,135.139999,133.300003,134.210007,127.868423,5310300
2022-01-18,132.949997,133.889999,131.779999,132.940002,126.658432,5246700
2022-01-19,132.899994,133.899994,131.500000,131.580002,125.362679,4103700
2022-01-20,131.259995,132.880005,130.570007,130.820007,124.638603,5278200
2022-01-21,131.649994,131.869995,129.270004,129.350006,123.238060,5907000
2022-01-24,127.989998,129.149994,124.190002,128.820007,122.733101,13484000
2022-01-25,129.139999,137.339996,128.300003,136.100006,129.669098,19715700
2022-01-26,136.470001,137.070007,133.130005,134.259995,127.916061,8336000
2022-01-27,133.660004,134.750000,132.080002,132.520004,126.258270,5497300
2022-01-28,133.190002,134.529999,131.789993,134.500000,128.144699,5471500
2022-01-31,134.089996,134.089996,132.300003,133.570007,127.258667,5859000
2022-02-01,133.759995,135.960007,132.500000,135.529999,129.126038,6206400
2022-02-02,135.699997,137.559998,135.259995,137.250000,130.764755,5357200
2022-02-03,137.000000,138.759995,135.830002,137.779999,131.269730,6100800
2022-02-04,137.860001,138.820007,136.220001,137.149994,130.669479,4142000
2022-02-07,137.449997,137.820007,136.270004,137.240005,130.755249,3759000
2022-02-08,137.229996,137.520004,135.779999,137.020004,130.545654,4181800
2022-02-09,137.839996,138.350006,136.830002,137.789993,131.279236,5393500
2022-02-10,135.470001,136.559998,133.169998,133.520004,128.743332,5978600
2022-02-11,133.899994,134.710007,132.380005,132.690002,127.943031,4176200
2022-02-14,132.589996,132.649994,129.070007,130.149994,125.493889,5345300
2022-02-15,130.639999,131.679993,129.610001,129.940002,125.291405,4394000
2022-02-16,129.449997,130.440002,128.259995,129.179993,124.558601,4875600
2022-02-17,128.050003,128.500000,124.849998,124.970001,120.499214,6797000
2022-02-18,124.940002,125.440002,123.610001,124.349998,119.901390,4609200
2022-02-22,124.199997,125.000000,122.680000,123.919998,119.486778,5349700
2022-02-23,124.379997,124.699997,121.870003,122.070000,117.702965,4086400
2022-02-24,120.000000,122.099998,118.809998,121.970001,117.606537,6563200
2022-02-25,122.050003,124.260002,121.449997,124.180000,119.737473,4460900
2022-02-28,122.209999,123.389999,121.040001,122.510002,118.127220,6757300
2022-03-01,122.669998,123.389999,120.699997,121.349998,117.008720,4873300
2022-03-02,122.589996,124.639999,121.800003,123.860001,119.428932,4891400
2022-03-03,124.959999,126.669998,124.239998,125.930000,121.424873,5206600
2022-03-04,124.400002,127.349998,124.209999,126.620003,122.090187,4402400
2022-03-07,126.470001,127.910004,125.620003,126.070000,121.559860,5047400
2022-03-08,126.620003,128.350006,124.820000,125.680000,121.183815,4887600
2022-03-09,127.410004,128.100006,125.910004,126.220001,121.704498,4403500
2022-03-10,125.750000,126.029999,123.129997,124.349998,119.901390,5326800
2022-03-11,125.000000,126.769997,123.910004,123.959999,119.525345,4119600
2022-03-14,124.449997,125.160004,122.690002,123.940002,119.506065,3289200
